codigo,ingreso_familiar,dependientes,trabaja,horas_trabajo,vive_solo,discapacidad,orfandad,recibe_otra_beca
U23220101,950,5,No,0,No,No,No,No
U23220102,1400,3,No,0,No,Si,No,No
U23220103,1800,2,Si,35,Si,No,No,No
U23220104,1700,4,Si,20,No,No,No,No
U23220105,2800,2,No,0,No,No,No,No
U23220106,1500,1,Si,30,Si,No,No,No
U23220109,1350,1,No,0,Si,No,Si,No
U23220110,1350,6,No,0,No,Si,Si,No
U23220115,1800,2,No,0,No,No,No,No
U23220116,1350,1,Si,15,No,No,No,No
U23220118,1100,3,No,0,No,No,Si,No
U23220120,2500,2,Si,20,No,No,No,No
U23220121,1200,6,No,0,Si,No,Si,No
U23220124,1650,3,Si,20,No,No,No,No
U23220127,2500,4,Si,25,No,No,No,No
U23220132,1350,6,No,0,No,No,No,No
U23220134,2000,4,Si,15,Si,No,No,No
U23220135,2200,1,No,0,No,No,No,No
U23220136,1350,5,Si,15,No,No,Si,No
U23220138,1650,2,No,0,Si,No,No,No
U23220142,2000,1,No,0,No,No,No,No
U23220150,2000,5,Si,40,No,No,Si,Si
U23220155,1500,3,Si,15,No,No,Si,Si
U23220160,3000,4,Si,40,No,No,No,No
U23220161,1100,3,No,0,No,No,No,No
U23220164,1650,6,No,0,No,No,No,Si
U23220171,1200,2,Si,25,Si,No,No,No
U23220175,2200,2,Si,15,Si,No,Si,Si
U23220176,1500,1,Si,25,No,No,No,No
U23220178,3000,5,No,0,No,No,No,No
U23220182,950,1,No,0,No,No,No,No
U23220187,3000,1,Si,15,No,No,Si,No
U23220188,1200,2,No,0,No,No,No,No
U23220189,1800,2,Si,30,Si,Si,No,Si
U23220191,950,2,Si,30,No,No,No,No
U23220192,800,2,No,0,Si,No,No,No
U23220193,1350,4,No,0,No,No,No,No
U23220195,800,5,Si,25,Si,Si,No,No
U23220197,2000,5,Si,15,Si,No,Si,No
U23220198,950,6,Si,30,Si,No,No,No
